Card	Format	Usage	Cumulative	Total	Format Index
Swords of Revealing Light	yugi-kaiba	88	88	281	0
Swords of Revealing Light	critter	56	144	281	1
Swords of Revealing Light	treasure	5	149	281	2
Swords of Revealing Light	imperial	8	157	281	3
Swords of Revealing Light	android	11	168	281	4
Swords of Revealing Light	yata	1	169	281	7
Swords of Revealing Light	vampire	1	170	281	9
Swords of Revealing Light	chaos	5	175	281	10
Swords of Revealing Light	warrior	18	193	281	11
Swords of Revealing Light	goat	11	204	281	12
Swords of Revealing Light	cyber	9	213	281	13
Swords of Revealing Light	reaper	4	217	281	14
Swords of Revealing Light	chaos return	15	232	281	15
Swords of Revealing Light	stein	4	236	281	16
Swords of Revealing Light	chimeratech	6	242	281	17
Swords of Revealing Light	airblade	1	243	281	18
Swords of Revealing Light	trooper	1	244	281	20
Swords of Revealing Light	zombie	12	256	281	21
Swords of Revealing Light	perfect circle	1	257	281	22
Swords of Revealing Light	phantom	3	260	281	23
Swords of Revealing Light	dad return	9	269	281	24
Swords of Revealing Light	gladiator	2	271	281	25
Swords of Revealing Light	cat	3	274	281	27
Swords of Revealing Light	x-saber	2	276	281	31
Swords of Revealing Light	meadowlands	2	278	281	43
Swords of Revealing Light	baby ruler	3	281	281	44
Metal Dragon	yugi-kaiba	79	79	132	0
Metal Dragon	critter	2	81	132	1
Metal Dragon	treasure	1	82	132	2
Metal Dragon	imperial	28	110	132	3
Metal Dragon	android	6	116	132	4
Metal Dragon	joey-pegasus	1	117	132	5
Metal Dragon	fiber	1	118	132	6
Metal Dragon	yata	5	123	132	7
Metal Dragon	chaos	6	129	132	10
Metal Dragon	chaos return	2	131	132	15
Metal Dragon	stein	1	132	132	16
Ultimate Offering	yugi-kaiba	75	75	92	0
Ultimate Offering	critter	3	78	92	1
Ultimate Offering	chimeratech	3	81	92	17
Ultimate Offering	edison	2	83	92	29
Ultimate Offering	x-saber	1	84	92	31
Ultimate Offering	trishula	3	87	92	34
Ultimate Offering	librarian	3	90	92	35
Ultimate Offering	wind-up	1	91	92	41
Ultimate Offering	baby ruler	1	92	92	44
Flower Wolf	yugi-kaiba	73	73	83	0
Flower Wolf	critter	2	75	83	1
Flower Wolf	treasure	1	76	83	2
Flower Wolf	android	1	77	83	4
Flower Wolf	joey-pegasus	1	78	83	5
Flower Wolf	fiber	1	79	83	6
Flower Wolf	yata	3	82	83	7
Flower Wolf	librarian	1	83	83	35
Aqua Madoor	yugi-kaiba	68	68	75	0
Aqua Madoor	critter	7	75	75	1
Gaia the Dragon Champion	yugi-kaiba	64	64	155	0
Gaia the Dragon Champion	critter	29	93	155	1
Gaia the Dragon Champion	treasure	7	100	155	2
Gaia the Dragon Champion	imperial	3	103	155	3
Gaia the Dragon Champion	android	20	123	155	4
Gaia the Dragon Champion	joey-pegasus	6	129	155	5
Gaia the Dragon Champion	fiber	6	135	155	6
Gaia the Dragon Champion	yata	15	150	155	7
Gaia the Dragon Champion	chaos	3	153	155	10
Gaia the Dragon Champion	stein	1	154	155	16
Gaia the Dragon Champion	gladiator	1	155	155	25
Card Destruction	yugi-kaiba	52	52	209	0
Card Destruction	critter	39	91	209	1
Card Destruction	treasure	3	94	209	2
Card Destruction	imperial	1	95	209	3
Card Destruction	android	4	99	209	4
Card Destruction	scientist	1	100	209	8
Card Destruction	vampire	2	102	209	9
Card Destruction	chaos	8	110	209	10
Card Destruction	warrior	3	113	209	11
Card Destruction	goat	8	121	209	12
Card Destruction	cyber	1	122	209	13
Card Destruction	reaper	2	124	209	14
Card Destruction	chaos return	2	126	209	15
Card Destruction	stein	4	130	209	16
Card Destruction	chimeratech	5	135	209	17
Card Destruction	airblade	1	136	209	18
Card Destruction	trooper	1	137	209	20
Card Destruction	zombie	2	139	209	21
Card Destruction	perfect circle	1	140	209	22
Card Destruction	phantom	3	143	209	23
Card Destruction	dad return	14	157	209	24
Card Destruction	teledad	2	159	209	26
Card Destruction	cat	2	161	209	27
Card Destruction	lightsworn	2	163	209	28
Card Destruction	edison	1	164	209	29
Card Destruction	frog	9	173	209	30
Card Destruction	trishula	1	174	209	34
Card Destruction	shockwave	3	177	209	38
Card Destruction	long beach	4	181	209	39
Card Destruction	dino rabbit	1	182	209	40
Card Destruction	wind-up	4	186	209	41
Card Destruction	miami	1	187	209	42
Card Destruction	meadowlands	2	189	209	43
Card Destruction	baby ruler	18	207	209	44
Card Destruction	rescue-ace	1	208	209	81
Card Destruction	current	1	209	209	84
Flame Swordsman	yugi-kaiba	52	52	131	0
Flame Swordsman	critter	4	56	131	1
Flame Swordsman	treasure	16	72	131	2
Flame Swordsman	imperial	15	87	131	3
Flame Swordsman	android	17	104	131	4
Flame Swordsman	joey-pegasus	7	111	131	5
Flame Swordsman	fiber	1	112	131	6
Flame Swordsman	yata	9	121	131	7
Flame Swordsman	warrior	2	123	131	11
Flame Swordsman	chimeratech	3	126	131	17
Flame Swordsman	gladiator	1	127	131	25
Flame Swordsman	librarian	2	129	131	35
Flame Swordsman	shockwave	2	131	131	38
Judge Man	yugi-kaiba	51	51	51	0
Just Desserts	yugi-kaiba	48	48	117	0
Just Desserts	treasure	6	54	117	2
Just Desserts	yata	2	56	117	7
Just Desserts	vampire	6	62	117	9
Just Desserts	warrior	3	65	117	11
Just Desserts	goat	3	68	117	12
Just Desserts	cyber	2	70	117	13
Just Desserts	stein	23	93	117	16
Just Desserts	zombie	3	96	117	21
Just Desserts	perfect circle	6	102	117	22
Just Desserts	shockwave	3	105	117	38
Just Desserts	long beach	3	108	117	39
Just Desserts	ravine ruler	3	111	117	45
Just Desserts	fire-water	3	114	117	46
Just Desserts	link zoo	3	117	117	60
Trap Master	yugi-kaiba	48	48	55	0
Trap Master	critter	7	55	55	1
Fusionist	yugi-kaiba	45	45	81	0
Fusionist	critter	4	49	81	1
Fusionist	treasure	1	50	81	2
Fusionist	android	7	57	81	4
Fusionist	joey-pegasus	1	58	81	5
Fusionist	fiber	3	61	81	6
Fusionist	chaos	4	65	81	10
Fusionist	reaper	1	66	81	14
Fusionist	chaos return	4	70	81	15
Fusionist	stein	1	71	81	16
Fusionist	perfect circle	3	74	81	22
Fusionist	dad return	1	75	81	24
Fusionist	shockwave	2	77	81	38
Fusionist	ravine ruler	1	78	81	45
Fusionist	vegas	1	79	81	47
Fusionist	hat	2	81	81	48
Change of Heart	yugi-kaiba	44	44	299	0
Change of Heart	critter	29	73	299	1
Change of Heart	treasure	14	87	299	2
Change of Heart	imperial	18	105	299	3
Change of Heart	android	28	133	299	4
Change of Heart	joey-pegasus	7	140	299	5
Change of Heart	fiber	18	158	299	6
Change of Heart	yata	23	181	299	7
Change of Heart	scientist	4	185	299	8
Change of Heart	vampire	14	199	299	9
Change of Heart	chaos	37	236	299	10
Change of Heart	warrior	29	265	299	11
Change of Heart	elements	1	266	299	78
Change of Heart	tearlaments	1	267	299	80
Change of Heart	rescue-ace	1	268	299	81
Change of Heart	snake-eye	12	280	299	82
Change of Heart	current	19	299	299	84
Dark Hole	yugi-kaiba	44	44	1292	0
Dark Hole	critter	29	73	1292	1
Dark Hole	treasure	14	87	1292	2
Dark Hole	imperial	18	105	1292	3
Dark Hole	android	28	133	1292	4
Dark Hole	joey-pegasus	7	140	1292	5
Dark Hole	fiber	18	158	1292	6
Dark Hole	yata	23	181	1292	7
Dark Hole	scientist	4	185	1292	8
Dark Hole	vampire	14	199	1292	9
Dark Hole	chaos	37	236	1292	10
Dark Hole	reaper	34	270	1292	14
Dark Hole	x-saber	102	372	1292	31
Dark Hole	starstrike	51	423	1292	32
Dark Hole	six samurai	30	453	1292	33
Dark Hole	trishula	71	524	1292	34
Dark Hole	librarian	36	560	1292	35
Dark Hole	tengu plant	27	587	1292	36
Dark Hole	underworld	17	604	1292	37
Dark Hole	shockwave	93	697	1292	38
Dark Hole	long beach	75	772	1292	39
Dark Hole	dino rabbit	29	801	1292	40
Dark Hole	wind-up	49	850	1292	41
Dark Hole	miami	31	881	1292	42
Dark Hole	meadowlands	20	901	1292	43
Dark Hole	baby ruler	25	926	1292	44
Dark Hole	ravine ruler	30	956	1292	45
Dark Hole	fire-water	15	971	1292	46
Dark Hole	vegas	20	991	1292	47
Dark Hole	hat	39	1030	1292	48
Dark Hole	shaddoll	4	1034	1292	49
Dark Hole	burning abyss	7	1041	1292	50
Dark Hole	charleston	16	1057	1292	51
Dark Hole	nekroz	26	1083	1292	52
Dark Hole	clown	13	1096	1292	53
Dark Hole	pepe	46	1142	1292	54
Dark Hole	monarch	10	1152	1292	56
Dark Hole	abc	64	1216	1292	57
Dark Hole	grass zoo	25	1241	1292	58
Dark Hole	draco zoo	19	1260	1292	59
Dark Hole	link zoo	28	1288	1292	60
Dark Hole	secaucus	1	1289	1292	63
Dark Hole	rescue-ace	2	1291	1292	81
Dark Hole	current	1	1292	1292	84
Monster Reborn	yugi-kaiba	44	44	1111	0
Monster Reborn	critter	29	73	1111	1
Monster Reborn	treasure	13	86	1111	2
Monster Reborn	imperial	18	104	1111	3
Monster Reborn	android	28	132	1111	4
Monster Reborn	joey-pegasus	7	139	1111	5
Monster Reborn	fiber	18	157	1111	6
Monster Reborn	yata	23	180	1111	7
Monster Reborn	scientist	4	184	1111	8
Monster Reborn	vampire	14	198	1111	9
Monster Reborn	chaos	38	236	1111	10
Monster Reborn	dad return	67	303	1111	24
Monster Reborn	gladiator	69	372	1111	25
Monster Reborn	teledad	43	415	1111	26
Monster Reborn	cat	50	465	1111	27
Monster Reborn	x-saber	101	566	1111	31
Monster Reborn	starstrike	46	612	1111	32
Monster Reborn	six samurai	30	642	1111	33
Monster Reborn	trishula	67	709	1111	34
Monster Reborn	librarian	35	744	1111	35
Monster Reborn	tengu plant	25	769	1111	36
Monster Reborn	underworld	17	786	1111	37
Monster Reborn	shockwave	96	882	1111	38
Monster Reborn	long beach	76	958	1111	39
Monster Reborn	dino rabbit	27	985	1111	40
Monster Reborn	wind-up	48	1033	1111	41
Monster Reborn	miami	37	1070	1111	42
Monster Reborn	meadowlands	22	1092	1111	43
Monster Reborn	baby ruler	10	1102	1111	44
Monster Reborn	secaucus	3	1105	1111	63
Monster Reborn	toss	1	1106	1111	68
Monster Reborn	tri zoo	3	1109	1111	74
Monster Reborn	elements	1	1110	1111	78
Monster Reborn	current	1	1111	1111	84
Ookazi	yugi-kaiba	44	44	44	0
Pot of Greed	yugi-kaiba	44	44	329	0
Pot of Greed	critter	29	73	329	1
Pot of Greed	treasure	14	87	329	2
Pot of Greed	imperial	18	105	329	3
Pot of Greed	android	28	133	329	4
Pot of Greed	joey-pegasus	7	140	329	5
Pot of Greed	fiber	18	158	329	6
Pot of Greed	yata	23	181	329	7
Pot of Greed	scientist	4	185	329	8
Pot of Greed	vampire	14	199	329	9
Pot of Greed	chaos	38	237	329	10
Pot of Greed	warrior	30	267	329	11
Pot of Greed	goat	37	304	329	12
Pot of Greed	cyber	25	329	329	13
Raigeki	yugi-kaiba	44	44	606	0
Raigeki	critter	29	73	606	1
Raigeki	treasure	14	87	606	2
Raigeki	imperial	18	105	606	3
Raigeki	android	28	133	606	4
Raigeki	joey-pegasus	7	140	606	5
Raigeki	fiber	18	158	606	6
Raigeki	yata	23	181	606	7
Raigeki	scientist	4	185	606	8
Raigeki	vampire	14	199	606	9
Raigeki	chaos	38	237	606	10
Raigeki	shaddoll	23	260	606	49
Raigeki	burning abyss	44	304	606	50
Raigeki	charleston	22	326	606	51
Raigeki	nekroz	71	397	606	52
Raigeki	clown	25	422	606	53
Raigeki	pepe	45	467	606	54
Raigeki	monarch	19	486	606	56
Raigeki	abc	50	536	606	57
Raigeki	grass zoo	24	560	606	58
Raigeki	draco zoo	18	578	606	59
Raigeki	link zoo	18	596	606	60
Raigeki	secaucus	1	597	606	63
Raigeki	tri zoo	1	598	606	74
Raigeki	rescue-ace	1	599	606	81
Raigeki	snake-eye	7	606	606	82
Flame Ghost	yugi-kaiba	43	43	144	0
Flame Ghost	critter	5	48	144	1
Flame Ghost	treasure	16	64	144	2
Flame Ghost	imperial	15	79	144	3
Flame Ghost	android	1	80	144	4
Flame Ghost	joey-pegasus	1	81	144	5
Flame Ghost	fiber	5	86	144	6
Flame Ghost	yata	1	87	144	7
Flame Ghost	vampire	1	88	144	9
Flame Ghost	chaos	4	92	144	10
Flame Ghost	warrior	8	100	144	11
Flame Ghost	goat	11	111	144	12
Flame Ghost	cyber	1	112	144	13
Flame Ghost	chaos return	10	122	144	15
Flame Ghost	stein	2	124	144	16
Flame Ghost	chimeratech	3	127	144	17
Flame Ghost	trooper	11	138	144	20
Flame Ghost	trishula	1	139	144	34
Flame Ghost	shockwave	2	141	144	38
Flame Ghost	long beach	2	143	144	39
Flame Ghost	meadowlands	1	144	144	43
Mystical Elf	yugi-kaiba	41	41	41	0
De-Spell	yugi-kaiba	34	34	39	0
De-Spell	critter	5	39	39	1
Spirit of the Harp	yugi-kaiba	33	33	33	0
Gyakutenno Megami	yugi-kaiba	32	32	32	0
Dragoness the Wicked Knight	yugi-kaiba	30	30	239	0
Dragoness the Wicked Knight	critter	7	37	239	1
Dragoness the Wicked Knight	treasure	16	53	239	2
Dragoness the Wicked Knight	imperial	8	61	239	3
Dragoness the Wicked Knight	android	19	80	239	4
Dragoness the Wicked Knight	joey-pegasus	1	81	239	5
Dragoness the Wicked Knight	fiber	25	106	239	6
Dragoness the Wicked Knight	yata	9	115	239	7
Dragoness the Wicked Knight	scientist	3	118	239	8
Dragoness the Wicked Knight	vampire	3	121	239	9
Dragoness the Wicked Knight	chaos	8	129	239	10
Dragoness the Wicked Knight	warrior	9	138	239	11
Dragoness the Wicked Knight	goat	24	162	239	12
Dragoness the Wicked Knight	cyber	15	177	239	13
Dragoness the Wicked Knight	reaper	11	188	239	14
Dragoness the Wicked Knight	chaos return	17	205	239	15
Dragoness the Wicked Knight	stein	12	217	239	16
Dragoness the Wicked Knight	chimeratech	5	222	239	17
Dragoness the Wicked Knight	airblade	4	226	239	18
Dragoness the Wicked Knight	trooper	2	228	239	20
Dragoness the Wicked Knight	perfect circle	3	231	239	22
Dragoness the Wicked Knight	edison	1	232	239	29
Dragoness the Wicked Knight	librarian	1	233	239	35
Dragoness the Wicked Knight	shockwave	1	234	239	38
Dragoness the Wicked Knight	long beach	4	238	239	39
Dragoness the Wicked Knight	monarch	1	239	239	56
The Wicked Worm Beast	yugi-kaiba	30	30	31	0
The Wicked Worm Beast	critter	1	31	31	1
Karbonala Warrior	yugi-kaiba	29	29	61	0
Karbonala Warrior	critter	4	33	61	1
Karbonala Warrior	treasure	1	34	61	2
Karbonala Warrior	android	1	35	61	4
Karbonala Warrior	yata	3	38	61	7
Karbonala Warrior	chaos	3	41	61	10
Karbonala Warrior	warrior	3	44	61	11
Karbonala Warrior	goat	2	46	61	12
Karbonala Warrior	cyber	1	47	61	13
Karbonala Warrior	reaper	1	48	61	14
Karbonala Warrior	chaos return	8	56	61	15
Karbonala Warrior	stein	1	57	61	16
Karbonala Warrior	trooper	1	58	61	20
Karbonala Warrior	perfect circle	1	59	61	22
Karbonala Warrior	edison	1	60	61	29
Karbonala Warrior	vegas	1	61	61	47
Darkfire Dragon	yugi-kaiba	27	27	249	0
Darkfire Dragon	critter	4	31	249	1
Darkfire Dragon	treasure	16	47	249	2
Darkfire Dragon	imperial	23	70	249	3
Darkfire Dragon	android	17	87	249	4
Darkfire Dragon	joey-pegasus	1	88	249	5
Darkfire Dragon	fiber	8	96	249	6
Darkfire Dragon	yata	9	105	249	7
Darkfire Dragon	scientist	2	107	249	8
Darkfire Dragon	vampire	3	110	249	9
Darkfire Dragon	chaos	6	116	249	10
Darkfire Dragon	warrior	12	128	249	11
Darkfire Dragon	goat	29	157	249	12
Darkfire Dragon	cyber	18	175	249	13
Darkfire Dragon	reaper	7	182	249	14
Darkfire Dragon	chaos return	25	207	249	15
Darkfire Dragon	stein	14	221	249	16
Darkfire Dragon	chimeratech	4	225	249	17
Darkfire Dragon	airblade	2	227	249	18
Darkfire Dragon	trooper	11	238	249	20
Darkfire Dragon	perfect circle	1	239	249	22
Darkfire Dragon	edison	2	241	249	29
Darkfire Dragon	trishula	3	244	249	34
Darkfire Dragon	tengu plant	1	245	249	36
Darkfire Dragon	shockwave	1	246	249	38
Darkfire Dragon	meadowlands	1	247	249	43
Darkfire Dragon	hat	1	248	249	48
Darkfire Dragon	link zoo	1	249	249	60
Stop Defense	yugi-kaiba	26	26	27	0
Stop Defense	critter	1	27	27	1
Great White	yugi-kaiba	18	18	18	0
Remove Trap	yugi-kaiba	14	14	14	0
Final Flame	yugi-kaiba	13	13	13	0
Last Will	yugi-kaiba	12	12	214	0
Last Will	critter	49	61	214	1
Last Will	treasure	10	71	214	2
Last Will	imperial	2	73	214	3
Last Will	joey-pegasus	1	74	214	5
Last Will	scientist	5	79	214	8
Last Will	vampire	3	82	214	9
Last Will	goat	6	88	214	12
Last Will	cyber	8	96	214	13
Last Will	reaper	46	142	214	14
Last Will	chaos return	32	174	214	15
Last Will	stein	32	206	214	16
Last Will	chimeratech	6	212	214	17
Last Will	airblade	2	214	214	18
Hane-Hane	yugi-kaiba	11	11	11	0
Charubin the Fire Knight	yugi-kaiba	9	9	84	0
Charubin the Fire Knight	critter	17	26	84	1
Charubin the Fire Knight	treasure	16	42	84	2
Charubin the Fire Knight	imperial	15	57	84	3
Charubin the Fire Knight	android	10	67	84	4
Charubin the Fire Knight	joey-pegasus	1	68	84	5
Charubin the Fire Knight	fiber	3	71	84	6
Charubin the Fire Knight	warrior	1	72	84	11
Charubin the Fire Knight	chaos return	2	74	84	15
Charubin the Fire Knight	chimeratech	3	77	84	17
Charubin the Fire Knight	airblade	1	78	84	18
Charubin the Fire Knight	perfect circle	3	81	84	22
Charubin the Fire Knight	librarian	1	82	84	35
Charubin the Fire Knight	shockwave	1	83	84	38
Charubin the Fire Knight	long beach	1	84	84	39
Dragon Capture Jar	yugi-kaiba	9	9	9	0
Reaper of the Cards	yugi-kaiba	4	4	4	0
Umi	yugi-kaiba	4	4	4	0
Ryu-Kishin Powered	yugi-kaiba	3	3	3	0
Armed Ninja	yugi-kaiba	2	2	3	0
Armed Ninja	joey-pegasus	1	3	3	5
Blue-Eyes White Dragon	yugi-kaiba	2	2	19	0
Blue-Eyes White Dragon	edison	3	5	19	29
Blue-Eyes White Dragon	ravine ruler	2	7	19	45
Blue-Eyes White Dragon	fire-water	3	10	19	46
Blue-Eyes White Dragon	abc	9	19	19	57
Curse of Dragon	yugi-kaiba	2	2	3	0
Curse of Dragon	miami	1	3	3	42
Dian Keto the Cure Master	yugi-kaiba	2	2	2	0
Dragon Zombie	yugi-kaiba	2	2	2	0
Lord of D.	yugi-kaiba	2	2	2	0
Reverse Trap	yugi-kaiba	2	2	2	0
The Flute of Summoning Dragon	yugi-kaiba	2	2	2	0
The Stern Mystic	yugi-kaiba	2	2	2	0
Castle Walls	yugi-kaiba	1	1	1	0
Petit Dragon	yugi-kaiba	1	1	1	0
Sparks	yugi-kaiba	1	1	1	0
Wasteland	yugi-kaiba	1	1	1	0
Yami	yugi-kaiba	1	1	1	0
Solemn Judgment	critter	76	76	1714	1
Solemn Judgment	treasure	27	103	1714	2
Solemn Judgment	imperial	32	135	1714	3
Solemn Judgment	android	36	171	1714	4
Solemn Judgment	joey-pegasus	14	185	1714	5
Solemn Judgment	fiber	8	193	1714	6
Solemn Judgment	yata	11	204	1714	7
Solemn Judgment	vampire	6	210	1714	9
Solemn Judgment	chaos	13	223	1714	10
Solemn Judgment	warrior	18	241	1714	11
Solemn Judgment	goat	65	306	1714	12
Solemn Judgment	cyber	11	317	1714	13
Solemn Judgment	reaper	24	341	1714	14
Solemn Judgment	chaos return	12	353	1714	15
Solemn Judgment	stein	3	356	1714	16
Solemn Judgment	chimeratech	2	358	1714	17
Solemn Judgment	airblade	9	367	1714	18
Solemn Judgment	trooper	15	382	1714	20
Solemn Judgment	zombie	47	429	1714	21
Solemn Judgment	perfect circle	35	464	1714	22
Solemn Judgment	phantom	5	469	1714	23
Solemn Judgment	dad return	44	513	1714	24
Solemn Judgment	gladiator	206	719	1714	25
Solemn Judgment	teledad	102	821	1714	26
Solemn Judgment	cat	75	896	1714	27
Solemn Judgment	lightsworn	31	927	1714	28
Solemn Judgment	edison	29	956	1714	29
Solemn Judgment	frog	71	1027	1714	30
Solemn Judgment	x-saber	87	1114	1714	31
Solemn Judgment	starstrike	35	1149	1714	32
Solemn Judgment	six samurai	29	1178	1714	33
Solemn Judgment	trishula	69	1247	1714	34
Solemn Judgment	librarian	38	1285	1714	35
Solemn Judgment	tengu plant	18	1303	1714	36
Solemn Judgment	underworld	13	1316	1714	37
Solemn Judgment	shockwave	87	1403	1714	38
Solemn Judgment	long beach	72	1475	1714	39
Solemn Judgment	dino rabbit	22	1497	1714	40
Solemn Judgment	wind-up	36	1533	1714	41
Solemn Judgment	miami	29	1562	1714	42
Solemn Judgment	meadowlands	5	1567	1714	43
Solemn Judgment	baby ruler	11	1578	1714	44
Solemn Judgment	secaucus	2	1580	1714	63
Solemn Judgment	toss	9	1589	1714	68
Solemn Judgment	tri zoo	22	1611	1714	74
Solemn Judgment	phoenix	11	1622	1714	76
Solemn Judgment	elements	20	1642	1714	78
Solemn Judgment	rescue-ace	36	1678	1714	81
Solemn Judgment	snake-eye	16	1694	1714	82
Solemn Judgment	current	20	1714	1714	84
Magician of Faith	critter	75	75	569	1
Magician of Faith	treasure	29	104	569	2
Magician of Faith	imperial	52	156	569	3
Magician of Faith	android	30	186	569	4
Magician of Faith	joey-pegasus	18	204	569	5
Magician of Faith	fiber	14	218	569	6
Magician of Faith	yata	20	238	569	7
Magician of Faith	scientist	4	242	569	8
Magician of Faith	vampire	15	257	569	9
Magician of Faith	chaos	56	313	569	10
Magician of Faith	warrior	21	334	569	11
Magician of Faith	goat	46	380	569	12
Magician of Faith	cyber	37	417	569	13
Magician of Faith	reaper	1	418	569	14
Magician of Faith	chaos return	77	495	569	15
Magician of Faith	stein	36	531	569	16
Magician of Faith	chimeratech	14	545	569	17
Magician of Faith	airblade	4	549	569	18
Magician of Faith	zombie	17	566	569	21
Magician of Faith	perfect circle	2	568	569	22
Magician of Faith	link zoo	1	569	569	60
Thunder Dragon	critter	66	66	168	1
Thunder Dragon	treasure	3	69	168	2
Thunder Dragon	joey-pegasus	3	72	168	5
Thunder Dragon	chaos	24	96	168	10
Thunder Dragon	goat	42	138	168	12
Thunder Dragon	cyber	3	141	168	13
Thunder Dragon	reaper	3	144	168	14
Thunder Dragon	chaos return	9	153	168	15
Thunder Dragon	dad return	9	162	168	24
