Card	Format	Usage	Cumulative	Total	Format Index
White Magical Hat	android	2	24	24	4
Fake Trap	critter	15	15	16	1
Fake Trap	android	1	16	16	4
Cyber Saurus	critter	14	14	21	1
Cyber Saurus	treasure	1	15	21	2
Cyber Saurus	imperial	3	18	21	3
Cyber Saurus	android	3	21	21	4
Dark Elf	critter	12	12	15	1
Dark Elf	android	3	15	15	4
Musician King	critter	12	12	28	1
Musician King	treasure	5	17	28	2
Musician King	imperial	8	25	28	3
Musician King	android	3	28	28	4
Mask of Darkness	critter	10	10	14	1
Mask of Darkness	android	4	14	14	4
Kuriboh	critter	8	8	13	1
Kuriboh	treasure	2	10	13	2
Kuriboh	android	3	13	13	4
Deepsea Shark	critter	7	7	16	1
Deepsea Shark	treasure	1	8	16	2
Deepsea Shark	imperial	8	16	16	3
Empress Judge	critter	7	7	8	1
Empress Judge	treasure	1	8	8	2
Punished Eagle	critter	7	7	18	1
Punished Eagle	imperial	8	15	18	3
Punished Eagle	android	3	18	18	4
Magic Jammer	critter	6	6	14	1
Magic Jammer	treasure	8	14	14	2
Princess of Tsurugi	critter	6	6	12	1
Princess of Tsurugi	treasure	6	12	12	2
Exodia the Forbidden One	critter	5	5	5	1
Giga-Tech Wolf	critter	5	5	5	1
Giltia the D. Knight	critter	5	5	6	1
Giltia the D. Knight	android	1	6	6	4
Jinzo #7	critter	5	5	5	1
Left Arm of the Forbidden One	critter	5	5	5	1
Left Leg of the Forbidden One	critter	5	5	5	1
Polymerization	critter	5	5	5	1
Right Arm of the Forbidden One	critter	5	5	5	1
Right Leg of the Forbidden One	critter	5	5	5	1
Tribute to the Doomed	critter	5	5	20	1
Tribute to the Doomed	treasure	12	17	20	2
Tribute to the Doomed	imperial	3	20	20	3
Roaring Ocean Snake	critter	4	4	12	1
Roaring Ocean Snake	imperial	8	12	12	3
Tremendous Fire	critter	4	4	4	1
Crass Clown	critter	3	3	4	1
Crass Clown	treasure	1	4	4	2
Skull Knight	critter	2	2	9	1
Skull Knight	treasure	3	5	9	2
Skull Knight	android	4	9	9	4
Dream Clown	critter	1	1	1	1
Horn of Heaven	critter	1	1	2	1
Horn of Heaven	treasure	1	2	2	2
Stim-Pack	critter	1	1	1	1
Mystic Tomato	treasure	42	42	174	2
Mystic Tomato	imperial	54	96	174	3
Mystic Tomato	android	78	174	174	4
Mystical Space Typhoon	treasure	36	36	173	2
Mystical Space Typhoon	imperial	54	90	173	3
Mystical Space Typhoon	android	83	173	173	4
Mechanicalchaser	treasure	34	34	88	2
Mechanicalchaser	imperial	54	88	88	3
Banisher of the Light	treasure	19	19	41	2
Banisher of the Light	imperial	18	37	41	3
Banisher of the Light	android	4	41	41	4
Giant Trunade	treasure	18	18	32	2
Giant Trunade	imperial	12	30	32	3
Giant Trunade	android	2	32	32	4
Nimble Momonga	treasure	18	18	30	2
Nimble Momonga	imperial	3	21	30	3
Nimble Momonga	android	9	30	30	4
Confiscation	treasure	14	14	60	2
Confiscation	imperial	18	32	60	3
Confiscation	android	28	60	60	4
Delinquent Duo	treasure	14	14	60	2
Delinquent Duo	imperial	18	32	60	3
Delinquent Duo	android	28	60	60	4
The Forceful Sentry	treasure	14	14	60	2
The Forceful Sentry	imperial	18	32	60	3
The Forceful Sentry	android	28	60	60	4
Snatch Steal	treasure	12	12	57	2
Snatch Steal	imperial	18	30	57	3
Snatch Steal	android	27	57	57	4
Painful Choice	treasure	9	9	42	2
Painful Choice	imperial	7	16	42	3
Painful Choice	android	26	42	42	4
Rush Recklessly	treasure	9	9	10	2
Rush Recklessly	imperial	1	10	10	3
Chain Energy	treasure	6	6	6	2
Giant Germ	treasure	6	6	12	2
Giant Germ	imperial	3	9	12	3
Giant Germ	android	3	12	12	4
Giant Rat	treasure	6	6	6	2
Minar	treasure	6	6	6	2
Spear Cretin	treasure	6	6	6	2
Cyber Jar	treasure	5	5	26	2
Cyber Jar	imperial	6	11	26	3
Cyber Jar	android	15	26	26	4
Mother Grizzly	treasure	3	3	3	2
Flash Assailant	treasure	2	2	2	2
Toll	treasure	2	2	2	2
Catapult Turtle	treasure	1	1	1	2
Gaia Power	treasure	1	1	1	2
Hercules Beetle	treasure	1	1	1	2
Share the Pain	treasure	1	1	1	2
Slot Machine	treasure	1	1	1	2
Upstart Goblin	treasure	1	1	1	2
Dust Tornado	imperial	40	40	79	3
Dust Tornado	android	39	79	79	4
Nobleman of Crossout	imperial	36	36	92	3
Nobleman of Crossout	android	56	92	92	4
Thousand-Eyes Restrict	imperial	32	32	58	3
Thousand-Eyes Restrict	android	26	58	58	4
Solemn Wishes	imperial	20	20	24	3
Solemn Wishes	android	4	24	24	4
Call of the Haunted	imperial	18	18	46	3
Call of the Haunted	android	28	46	46	4
Imperial Order	imperial	18	18	45	3
Imperial Order	android	27	45	45	4
Jinzo	imperial	18	18	46	3
Jinzo	android	28	46	46	4
Ceasefire	imperial	16	16	23	3
Ceasefire	android	7	23	23	4
Premature Burial	imperial	13	13	27	3
Premature Burial	android	14	27	27	4
Time Seal	imperial	13	13	27	3
Time Seal	android	14	27	27	4
Morphing Jar	imperial	11	11	27	3
Morphing Jar	android	16	27	27	4
Relinquished	imperial	9	9	9	3
Black Illusion Ritual	imperial	8	8	8	3
Senju of the Thousand Hands	imperial	8	8	8	3
Sonic Bird	imperial	8	8	8	3
Warrior of Tradition	imperial	8	8	26	3
Warrior of Tradition	android	18	26	26	4
Kwagar Hercules	imperial	7	7	10	3
Kwagar Hercules	android	3	10	10	4
The Fiend Megacyber	imperial	5	5	5	3
Exchange	imperial	3	3	11	3
Exchange	android	8	11	11	4
4-Starred Ladybug of Doom	imperial	2	2	12	3
4-Starred Ladybug of Doom	android	10	12	12	4
Acid Trap Hole	imperial	1	1	1	3
Goblin Attack Force	imperial	1	1	1	3
Graverobber	imperial	1	1	1	3
Magic Drain	imperial	1	1	6	3
Magic Drain	android	5	6	6	4
Gemini Elf	android	72	72	72	4
Kycoo the Ghost Destroyer	android	72	72	72	4
Torrential Tribute	android	71	71	71	4
Jar of Greed	android	70	70	70	4
Bazoo the Soul-Eater	android	58	58	58	4
The Last Warrior from Another Planet	android	38	38	38	4
Skull Lair	android	31	31	31	4
St. Joan	android	22	22	22	4
Penguin Knight	android	12	12	12	4
Magic Cylinder	android	8	8	8	4
Humanoid Worm Drake	android	7	7	7	4
Earthbound Spirit	android	3	3	3	4
Fairy Box	android	3	3	3	4
United We Stand	android	3	3	3	4
Axe of Despair	android	2	2	2	4
Dark Necrofear	android	2	2	2	4
Mage Power	android	2	2	2	4
Megamorph	android	2	2	2	4
Soul Release	android	2	2	2	4
Castle of Dark Illusions	android	1	1	1	4
Firegrass	android	1	1	1	4
Hayabusa Knight	android	1	1	1	4
Kaminari Attack	android	1	1	1	4
Mirror Wall	android	1	1	1	4
Royal Command	android	1	1	1	4
Zombyra the Dark	android	1	1	1	4
