Card	Format	Usage	Cumulative	Total	Format Index
Man-Eater Bug	treasure	36	223	279	12
Man-Eater Bug	imperial	42	265	279	14
Man-Eater Bug	android	7	272	279	15
Man-Eater Bug	joey-pegasus	7	279	279	17
Monster Reborn	tokyo dome	6	6	773	0
Monster Reborn	cannon	2	8	773	4
Monster Reborn	ocg android	1	9	773	7
Monster Reborn	yugi-kaiba	44	53	773	9
Monster Reborn	critter	27	80	773	10
Monster Reborn	ocg yata	1	81	773	11
Monster Reborn	treasure	14	95	773	12
Monster Reborn	imperial	15	110	773	14
Monster Reborn	android	27	137	773	15
Monster Reborn	joey-pegasus	14	151	773	17
Monster Reborn	fiber	24	175	773	18
Monster Reborn	yata	32	207	773	20
Monster Reborn	scientist	8	215	773	21
Monster Reborn	vampire	18	233	773	23
Monster Reborn	chaos	45	278	773	25
Monster Reborn	dad return	74	352	773	45
Monster Reborn	gladiator	69	421	773	46
Monster Reborn	teledad	43	464	773	48
Monster Reborn	cat	50	514	773	50
Monster Reborn	crow	4	518	773	56
Monster Reborn	starstrike	46	564	773	57
Monster Reborn	trishula	16	580	773	59
Monster Reborn	tengu	26	606	773	60
Monster Reborn	dino rabbit	27	633	773	61
Monster Reborn	wind-up	48	681	773	62
Monster Reborn	miami	37	718	773	63
Monster Reborn	meadowlands	23	741	773	64
Monster Reborn	baby ruler	19	760	773	65
Monster Reborn	secaucus	3	763	773	85
Monster Reborn	toss	1	764	773	90
Monster Reborn	tri-brigade	3	767	773	96
Monster Reborn	elements	1	768	773	100
Monster Reborn	darkwing	1	769	773	101
Monster Reborn	tearlaments	1	770	773	102
Monster Reborn	snake-eye	3	773	773	106
Pot of Greed	tokyo dome	6	6	371	0
Pot of Greed	cannon	1	7	371	4
Pot of Greed	ocg android	1	8	371	7
Pot of Greed	yugi-kaiba	44	52	371	9
Pot of Greed	critter	27	79	371	10
Pot of Greed	ocg yata	1	80	371	11
Pot of Greed	treasure	15	95	371	12
Pot of Greed	imperial	15	110	371	14
Pot of Greed	android	27	137	371	15
Pot of Greed	joey-pegasus	14	151	371	17
Pot of Greed	fiber	24	175	371	18
Pot of Greed	yata	33	208	371	20
Pot of Greed	scientist	8	216	371	21
Pot of Greed	vampire	18	234	371	23
Pot of Greed	chaos	45	279	371	25
Pot of Greed	warrior	20	299	371	26
Pot of Greed	ocg goat	2	301	371	28
Pot of Greed	goat	49	350	371	29
Pot of Greed	cyber	21	371	371	31
Rogue Doll	tokyo dome	6	6	6	0
Swords of Revealing Light	tokyo dome	6	6	281	0
Swords of Revealing Light	cannon	1	7	281	4
Swords of Revealing Light	ocg android	2	9	281	7
Swords of Revealing Light	yugi-kaiba	88	97	281	9
Swords of Revealing Light	critter	48	145	281	10
Swords of Revealing Light	treasure	5	150	281	12
Swords of Revealing Light	imperial	9	159	281	14
Swords of Revealing Light	android	10	169	281	15
Swords of Revealing Light	joey-pegasus	1	170	281	17
Swords of Revealing Light	fiber	1	171	281	18
Swords of Revealing Light	yata	1	172	281	20
Swords of Revealing Light	vampire	1	173	281	23
Swords of Revealing Light	chaos	1	174	281	25
Swords of Revealing Light	warrior	4	178	281	26
Swords of Revealing Light	ocg goat	1	179	281	28
Swords of Revealing Light	goat	18	197	281	29
Swords of Revealing Light	cyber	3	200	281	31
Swords of Revealing Light	reaper	4	204	281	32
Swords of Revealing Light	chaos return	23	227	281	34
Swords of Revealing Light	stein	4	231	281	36
Swords of Revealing Light	chimeratech	7	238	281	37
Swords of Revealing Light	destiny	1	239	281	38
Swords of Revealing Light	demise	8	247	281	39
Swords of Revealing Light	trooper	3	250	281	40
Swords of Revealing Light	zombie	12	262	281	42
Swords of Revealing Light	perfect circle	2	264	281	43
Swords of Revealing Light	dad return	9	273	281	45
Swords of Revealing Light	gladiator	2	275	281	46
Swords of Revealing Light	cat	3	278	281	50
Swords of Revealing Light	baby ruler	3	281	281	65
Reinforcements	tokyo dome	5	5	137	0
Reinforcements	yugi-kaiba	129	134	137	9
Reinforcements	critter	3	137	137	10
Acid Trap Hole	tokyo dome	4	4	19	0
Acid Trap Hole	fire-water	4	8	19	67
Acid Trap Hole	vegas	3	11	19	68
Acid Trap Hole	hat	8	19	19	69
Crush Card Virus	tokyo dome	3	3	240	0
Crush Card Virus	cannon	1	4	240	4
Crush Card Virus	destiny	1	5	240	38
Crush Card Virus	demise	3	8	240	39
Crush Card Virus	trooper	4	12	240	40
Crush Card Virus	zombie	17	29	240	42
Crush Card Virus	perfect circle	32	61	240	43
Crush Card Virus	dad return	29	90	240	45
Crush Card Virus	gladiator	60	150	240	46
Crush Card Virus	teledad	39	189	240	48
Crush Card Virus	cat	35	224	240	50
Crush Card Virus	nekroz	14	238	240	73
Crush Card Virus	clown	1	239	240	74
Crush Card Virus	invasion	1	240	240	79
Darkfire Dragon	tokyo dome	3	3	281	0
Darkfire Dragon	yugi-kaiba	21	24	281	9
Darkfire Dragon	critter	13	37	281	10
Darkfire Dragon	treasure	20	57	281	12
Darkfire Dragon	imperial	19	76	281	14
Darkfire Dragon	android	14	90	281	15
Darkfire Dragon	joey-pegasus	5	95	281	17
Darkfire Dragon	fiber	10	105	281	18
Darkfire Dragon	yata	14	119	281	20
Darkfire Dragon	scientist	4	123	281	21
Darkfire Dragon	vampire	5	128	281	23
Darkfire Dragon	chaos	10	138	281	25
Darkfire Dragon	warrior	15	153	281	26
Darkfire Dragon	goat	40	193	281	29
Darkfire Dragon	cyber	13	206	281	31
Darkfire Dragon	reaper	7	213	281	32
Darkfire Dragon	chaos return	21	234	281	34
Darkfire Dragon	stein	14	248	281	36
Darkfire Dragon	chimeratech	5	253	281	37
Darkfire Dragon	demise	3	256	281	39
Darkfire Dragon	trooper	11	267	281	40
Darkfire Dragon	zombie	6	273	281	42
Darkfire Dragon	perfect circle	2	275	281	43
Darkfire Dragon	dad return	1	276	281	45
Darkfire Dragon	edison	2	278	281	54
Darkfire Dragon	meadowlands	2	280	281	64
Darkfire Dragon	link zoo	1	281	281	82
Deepsea Shark	tokyo dome	3	3	25	0
Deepsea Shark	critter	13	16	25	10
Deepsea Shark	treasure	2	18	25	12
Deepsea Shark	imperial	7	25	25	14
Dragoness the Wicked Knight	tokyo dome	3	3	249	0
Dragoness the Wicked Knight	yugi-kaiba	26	29	249	9
Dragoness the Wicked Knight	critter	10	39	249	10
Dragoness the Wicked Knight	treasure	20	59	249	12
Dragoness the Wicked Knight	imperial	7	66	249	14
Dragoness the Wicked Knight	android	19	85	249	15
Dragoness the Wicked Knight	joey-pegasus	2	87	249	17
Dragoness the Wicked Knight	fiber	19	106	249	18
Dragoness the Wicked Knight	yata	14	120	249	20
Dragoness the Wicked Knight	scientist	6	126	249	21
Dragoness the Wicked Knight	vampire	5	131	249	23
Dragoness the Wicked Knight	chaos	10	141	249	25
Dragoness the Wicked Knight	warrior	12	153	249	26
Dragoness the Wicked Knight	goat	25	178	249	29
Dragoness the Wicked Knight	cyber	8	186	249	31
Dragoness the Wicked Knight	reaper	11	197	249	32
Dragoness the Wicked Knight	chaos return	17	214	249	34
Dragoness the Wicked Knight	stein	12	226	249	36
Dragoness the Wicked Knight	chimeratech	9	235	249	37
Dragoness the Wicked Knight	demise	4	239	249	39
Dragoness the Wicked Knight	trooper	3	242	249	40
Dragoness the Wicked Knight	perfect circle	3	245	249	43
Dragoness the Wicked Knight	dad return	2	247	249	45
Dragoness the Wicked Knight	edison	1	248	249	54
Dragoness the Wicked Knight	monarch	1	249	249	77
Flame Ghost	tokyo dome	3	3	188	0
Flame Ghost	yugi-kaiba	49	52	188	9
Flame Ghost	critter	8	60	188	10
Flame Ghost	treasure	20	80	188	12
Flame Ghost	imperial	12	92	188	14
Flame Ghost	android	1	93	188	15
Flame Ghost	joey-pegasus	1	94	188	17
Flame Ghost	fiber	7	101	188	18
Flame Ghost	yata	2	103	188	20
Flame Ghost	vampire	1	104	188	23
Flame Ghost	chaos	8	112	188	25
Flame Ghost	warrior	7	119	188	26
Flame Ghost	goat	23	142	188	29
Flame Ghost	cyber	2	144	188	31
Flame Ghost	chaos return	12	156	188	34
Flame Ghost	stein	2	158	188	36
Flame Ghost	chimeratech	3	161	188	37
Flame Ghost	demise	3	164	188	39
Flame Ghost	trooper	12	176	188	40
Flame Ghost	zombie	6	182	188	42
Flame Ghost	dad return	2	184	188	45
Flame Ghost	meadowlands	2	186	188	64
Flame Ghost	vegas	2	188	188	68
Great White	tokyo dome	3	3	15	0
Great White	yugi-kaiba	12	15	15	9
Karbonala Warrior	tokyo dome	3	3	70	0
Karbonala Warrior	yugi-kaiba	31	34	70	9
Karbonala Warrior	critter	7	41	70	10
Karbonala Warrior	treasure	2	43	70	12
Karbonala Warrior	android	1	44	70	15
Karbonala Warrior	yata	4	48	70	20
Karbonala Warrior	chaos	3	51	70	25
Karbonala Warrior	reaper	1	52	70	32
Karbonala Warrior	chaos return	6	58	70	34
Karbonala Warrior	stein	1	59	70	36
Karbonala Warrior	demise	1	60	70	39
Karbonala Warrior	trooper	2	62	70	40
Karbonala Warrior	zombie	3	65	70	42
Karbonala Warrior	perfect circle	2	67	70	43
Karbonala Warrior	dad return	1	68	70	45
Karbonala Warrior	nekroz	2	70	70	73
Mask of Darkness	tokyo dome	3	3	40	0
Mask of Darkness	cannon	2	5	40	4
Mask of Darkness	critter	1	6	40	10
Mask of Darkness	android	2	8	40	15
Mask of Darkness	yata	1	9	40	20
Mask of Darkness	warrior	2	11	40	26
Mask of Darkness	goat	2	13	40	29
Mask of Darkness	stein	2	15	40	36
Mask of Darkness	perfect circle	7	22	40	43
Mask of Darkness	gladiator	16	38	40	46
Mask of Darkness	teledad	2	40	40	48
Skelengel	tokyo dome	3	3	5	0
Skelengel	stein	2	5	5	36
Summoned Skull	tokyo dome	3	3	130	0
Summoned Skull	yugi-kaiba	120	123	130	9
Summoned Skull	critter	3	126	130	10
Summoned Skull	treasure	2	128	130	12
Summoned Skull	android	1	129	130	15
Summoned Skull	vampire	1	130	130	23
Aqua Madoor	tokyo dome	2	2	74	0
Aqua Madoor	yugi-kaiba	69	71	74	9
Aqua Madoor	critter	3	74	74	10
Beautiful Headhuntress	tokyo dome	2	2	2	0
Dark Hole	tokyo dome	2	2	995	0
Dark Hole	cannon	1	3	995	4
Dark Hole	ocg android	1	4	995	7
Dark Hole	yugi-kaiba	44	48	995	9
Dark Hole	critter	27	75	995	10
Dark Hole	ocg yata	1	76	995	11
Dark Hole	treasure	15	91	995	12
Dark Hole	imperial	15	106	995	14
Dark Hole	android	27	133	995	15
Dark Hole	joey-pegasus	14	147	995	17
Dark Hole	fiber	24	171	995	18
Dark Hole	yata	33	204	995	20
Dark Hole	scientist	8	212	995	21
Dark Hole	vampire	18	230	995	23
Dark Hole	chaos	44	274	995	25
Dark Hole	reaper	34	308	995	32
Dark Hole	crow	4	312	995	56
Dark Hole	starstrike	51	363	995	57
Dark Hole	trishula	15	378	995	59
Dark Hole	tengu	27	405	995	60
Dark Hole	dino rabbit	29	434	995	61
Dark Hole	wind-up	49	483	995	62
Dark Hole	miami	31	514	995	63
Dark Hole	meadowlands	24	538	995	64
Dark Hole	baby ruler	41	579	995	65
Dark Hole	ravine ruler	30	609	995	66
Dark Hole	fire-water	13	622	995	67
Dark Hole	vegas	19	641	995	68
Dark Hole	hat	29	670	995	69
Dark Hole	shaddoll	4	674	995	70
Dark Hole	burning abyss	7	681	995	71
Dark Hole	charleston	18	699	995	72
Dark Hole	nekroz	32	731	995	73
Dark Hole	clown	3	734	995	74
Dark Hole	performapal	46	780	995	75
Dark Hole	monarch	14	794	995	77
Dark Hole	blue-eyes	1	795	995	78
Dark Hole	invasion	70	865	995	79
Dark Hole	grass zoo	25	890	995	80
Dark Hole	draco zoo	32	922	995	81
Dark Hole	link zoo	28	950	995	82
Dark Hole	secaucus	1	951	995	85
Dark Hole	darkwing	3	954	995	101
Dark Hole	tearlaments	14	968	995	102
Dark Hole	kashtira	18	986	995	103
Dark Hole	rescue-ace	2	988	995	104
Dark Hole	snake-eye	4	992	995	106
Dark Hole	fiendsmith	3	995	995	107
Raigeki	tokyo dome	2	2	685	0
Raigeki	cannon	1	3	685	4
Raigeki	ocg android	1	4	685	7
Raigeki	yugi-kaiba	44	48	685	9
Raigeki	critter	27	75	685	10
Raigeki	ocg yata	1	76	685	11
Raigeki	treasure	15	91	685	12
Raigeki	imperial	15	106	685	14
Raigeki	android	27	133	685	15
Raigeki	joey-pegasus	14	147	685	17
Raigeki	fiber	24	171	685	18
Raigeki	yata	33	204	685	20
Raigeki	scientist	8	212	685	21
Raigeki	vampire	18	230	685	23
Raigeki	chaos	45	275	685	25
Raigeki	shaddoll	23	298	685	70
Raigeki	burning abyss	44	342	685	71
Raigeki	charleston	25	367	685	72
Raigeki	nekroz	57	424	685	73
Raigeki	clown	11	435	685	74
Raigeki	performapal	45	480	685	75
Raigeki	monarch	34	514	685	77
Raigeki	blue-eyes	2	516	685	78
Raigeki	invasion	56	572	685	79
Raigeki	grass zoo	24	596	685	80
Raigeki	draco zoo	26	622	685	81
Raigeki	link zoo	18	640	685	82
Raigeki	secaucus	1	641	685	85
Raigeki	tri-brigade	1	642	685	96
Raigeki	darkwing	9	651	685	101
Raigeki	tearlaments	1	652	685	102
Raigeki	kashtira	10	662	685	103
Raigeki	rescue-ace	4	666	685	104
Raigeki	fire king	7	673	685	105
Raigeki	snake-eye	3	676	685	106
Raigeki	fiendsmith	6	682	685	107
Raigeki	advanced	3	685	685	108
Soul of the Pure	tokyo dome	2	2	2	0
Trap Hole	tokyo dome	2	2	487	0
Trap Hole	yugi-kaiba	132	134	487	9
Trap Hole	critter	80	214	487	10
Trap Hole	treasure	40	254	487	12
Trap Hole	imperial	40	294	487	14
Trap Hole	android	48	342	487	15
Trap Hole	joey-pegasus	9	351	487	17
Trap Hole	fiber	36	387	487	18
Trap Hole	yata	6	393	487	20
Trap Hole	vampire	1	394	487	23
Trap Hole	ocg goat	2	396	487	28
Trap Hole	chaos return	1	397	487	34
Trap Hole	zombie	1	398	487	42
Trap Hole	cat	2	400	487	50
Trap Hole	lightsworn	45	445	487	52
Trap Hole	edison	8	453	487	54
Trap Hole	frog	11	464	487	55
Trap Hole	starstrike	14	478	487	57
Trap Hole	miami	2	480	487	63
Trap Hole	ravine ruler	2	482	487	66
Trap Hole	fire-water	4	486	487	67
Trap Hole	vegas	1	487	487	68
Castle Walls	tokyo dome	1	1	5	0
Castle Walls	yugi-kaiba	4	5	5	9
Shine Palace	tokyo dome	1	1	1	0
Stop Defense	tokyo dome	1	1	18	0
Stop Defense	yugi-kaiba	16	17	18	9
Stop Defense	critter	1	18	18	10
Ultimate Offering	tokyo dome	1	1	105	0
Ultimate Offering	cannon	1	2	105	4
Ultimate Offering	yugi-kaiba	88	90	105	9
Ultimate Offering	critter	5	95	105	10
Ultimate Offering	goat	3	98	105	29
Ultimate Offering	chimeratech	5	103	105	37
Ultimate Offering	wind-up	1	104	105	62
Ultimate Offering	baby ruler	1	105	105	65
Cannon Soldier	cannon	3	3	120	4
Cannon Soldier	ocg android	2	5	120	7
Cannon Soldier	critter	35	40	120	10
Cannon Soldier	ocg yata	1	41	120	11
Cannon Soldier	treasure	15	56	120	12
Cannon Soldier	imperial	13	69	120	14
Cannon Soldier	android	15	84	120	15
Cannon Soldier	joey-pegasus	9	93	120	17
Cannon Soldier	fiber	7	100	120	18
Cannon Soldier	yata	3	103	120	20
Cannon Soldier	scientist	8	111	120	21
Cannon Soldier	vampire	1	112	120	23
Cannon Soldier	warrior	1	113	120	26
Cannon Soldier	goat	1	114	120	29
Cannon Soldier	reaper	1	115	120	32
Cannon Soldier	stein	3	118	120	36
Cannon Soldier	cat	2	120	120	50
Painful Choice	cannon	3	3	183	4
Painful Choice	treasure	11	14	183	12
Painful Choice	imperial	6	20	183	14
Painful Choice	android	25	45	183	15
Painful Choice	joey-pegasus	13	58	183	17
Painful Choice	fiber	22	80	183	18
Painful Choice	yata	24	104	183	20
Painful Choice	scientist	8	112	183	21
Painful Choice	vampire	12	124	183	23
Painful Choice	chaos	44	168	183	25
Painful Choice	warrior	15	183	183	26
Sangan	cannon	3	3	943	4
Sangan	ocg android	2	5	943	7
Sangan	critter	54	59	943	10
Sangan	ocg yata	2	61	943	11
Sangan	treasure	30	91	943	12
Sangan	imperial	30	121	943	14
Sangan	android	27	148	943	15
Sangan	joey-pegasus	14	162	943	17
Sangan	fiber	24	186	943	18
Sangan	yata	32	218	943	20
Sangan	scientist	8	226	943	21
Sangan	vampire	18	244	943	23
Sangan	chaos	41	285	943	25
Sangan	ocg goat	2	287	943	28
Sangan	goat	38	325	943	29
Sangan	cyber	14	339	943	31
Sangan	reaper	30	369	943	32
Sangan	chaos return	32	401	943	34
Sangan	stein	41	442	943	36
Sangan	chimeratech	10	452	943	37
Sangan	destiny	1	453	943	38
Sangan	demise	29	482	943	39
Sangan	trooper	17	499	943	40
Sangan	zombie	48	547	943	42
Sangan	perfect circle	34	581	943	43
Sangan	dad return	52	633	943	45
Sangan	gladiator	69	702	943	46
Sangan	teledad	36	738	943	48
Sangan	cat	19	757	943	50
Sangan	lightsworn	20	777	943	52
Sangan	edison	6	783	943	54
Sangan	frog	41	824	943	55
Sangan	crow	3	827	943	56
Sangan	starstrike	22	849	943	57
Sangan	trishula	7	856	943	59
Sangan	tengu	19	875	943	60
Sangan	dino rabbit	24	899	943	61
Sangan	wind-up	23	922	943	62
Sangan	miami	17	939	943	63
Sangan	grass zoo	3	942	943	80
Sangan	rescue-ace	1	943	943	104
Sinister Serpent	cannon	3	3	176	4
Sinister Serpent	ocg yata	1	4	176	11
Sinister Serpent	joey-pegasus	14	18	176	17
Sinister Serpent	fiber	24	42	176	18
Sinister Serpent	yata	24	66	176	20
Sinister Serpent	scientist	6	72	176	21
Sinister Serpent	vampire	16	88	176	23
Sinister Serpent	chaos	36	124	176	25
Sinister Serpent	warrior	8	132	176	26
Sinister Serpent	ocg goat	2	134	176	28
Sinister Serpent	goat	31	165	176	29
Sinister Serpent	cyber	11	176	176	31
Witch of the Black Forest	cannon	3	3	274	4
Witch of the Black Forest	ocg android	2	5	274	7
Witch of the Black Forest	critter	54	59	274	10
Witch of the Black Forest	ocg yata	1	60	274	11
Witch of the Black Forest	treasure	30	90	274	12
Witch of the Black Forest	imperial	15	105	274	14
Witch of the Black Forest	android	27	132	274	15
Witch of the Black Forest	joey-pegasus	14	146	274	17
Witch of the Black Forest	fiber	24	170	274	18
Witch of the Black Forest	yata	33	203	274	20
Witch of the Black Forest	scientist	8	211	274	21
Witch of the Black Forest	vampire	18	229	274	23
Witch of the Black Forest	chaos	45	274	274	25
Delinquent Duo	cannon	2	2	260	4
Delinquent Duo	ocg yata	1	3	260	11
Delinquent Duo	treasure	15	18	260	12
Delinquent Duo	imperial	15	33	260	14
Delinquent Duo	android	27	60	260	15
Delinquent Duo	joey-pegasus	14	74	260	17
Delinquent Duo	fiber	24	98	260	18
Delinquent Duo	yata	31	129	260	20
Delinquent Duo	scientist	5	134	260	21
Delinquent Duo	vampire	15	149	260	23
Delinquent Duo	chaos	42	191	260	25
Delinquent Duo	ocg goat	2	193	260	28
Delinquent Duo	goat	48	241	260	29
Delinquent Duo	cyber	19	260	260	31
Graceful Charity	cannon	2	2	367	4
Graceful Charity	ocg android	2	4	367	7
Graceful Charity	ocg yata	2	6	367	11
Graceful Charity	joey-pegasus	28	34	367	17
Graceful Charity	fiber	48	82	367	18
Graceful Charity	yata	33	115	367	20
Graceful Charity	scientist	8	123	367	21
Graceful Charity	vampire	18	141	367	23
Graceful Charity	chaos	45	186	367	25
Graceful Charity	ocg goat	2	188	367	28
Graceful Charity	goat	49	237	367	29
Graceful Charity	cyber	21	258	367	31
Graceful Charity	chaos return	38	296	367	34
Graceful Charity	stein	45	341	367	36
Graceful Charity	chimeratech	26	367	367	37
Heavy Storm	cannon	2	2	1319	4
Heavy Storm	ocg android	2	4	1319	7
Heavy Storm	critter	54	58	1319	10
Heavy Storm	ocg yata	1	59	1319	11
Heavy Storm	treasure	28	87	1319	12
Heavy Storm	imperial	28	115	1319	14
Heavy Storm	android	54	169	1319	15
Heavy Storm	joey-pegasus	11	180	1319	17
Heavy Storm	fiber	17	197	1319	18
Heavy Storm	yata	29	226	1319	20
Heavy Storm	scientist	6	232	1319	21
Heavy Storm	vampire	16	248	1319	23
Heavy Storm	chaos	27	275	1319	25
Heavy Storm	warrior	18	293	1319	26
Heavy Storm	ocg goat	2	295	1319	28
Heavy Storm	goat	48	343	1319	29
Heavy Storm	cyber	21	364	1319	31
Heavy Storm	reaper	35	399	1319	32
Heavy Storm	chaos return	37	436	1319	34
Heavy Storm	stein	44	480	1319	36
Heavy Storm	chimeratech	26	506	1319	37
Heavy Storm	destiny	1	507	1319	38
Heavy Storm	demise	40	547	1319	39
Heavy Storm	trooper	18	565	1319	40
Heavy Storm	zombie	55	620	1319	42
Heavy Storm	perfect circle	41	661	1319	43
Heavy Storm	dad return	72	733	1319	45
Heavy Storm	gladiator	73	806	1319	46
Heavy Storm	teledad	45	851	1319	48
Heavy Storm	cat	50	901	1319	50
Heavy Storm	lightsworn	71	972	1319	52
Heavy Storm	edison	48	1020	1319	54
Heavy Storm	frog	85	1105	1319	55
Heavy Storm	tengu	25	1130	1319	60
Heavy Storm	dino rabbit	30	1160	1319	61
Heavy Storm	wind-up	47	1207	1319	62
Heavy Storm	miami	35	1242	1319	63
Heavy Storm	meadowlands	23	1265	1319	64
Heavy Storm	baby ruler	53	1318	1319	65
Heavy Storm	snake-eye	1	1319	1319	106
Snatch Steal	cannon	2	2	456	4
Snatch Steal	ocg android	1	3	456	7
Snatch Steal	ocg yata	1	4	456	11
Snatch Steal	treasure	14	18	456	12
Snatch Steal	imperial	15	33	456	14
Snatch Steal	android	26	59	456	15
Snatch Steal	joey-pegasus	14	73	456	17
Snatch Steal	fiber	24	97	456	18
Snatch Steal	yata	33	130	456	20
Snatch Steal	scientist	8	138	456	21
Snatch Steal	vampire	17	155	456	23
Snatch Steal	chaos	44	199	456	25
Snatch Steal	warrior	19	218	456	26
Snatch Steal	ocg goat	2	220	456	28
Snatch Steal	goat	49	269	456	29
Snatch Steal	cyber	20	289	456	31
Snatch Steal	reaper	34	323	456	32
Snatch Steal	chaos return	38	361	456	34
Snatch Steal	destiny	1	362	456	38
Snatch Steal	demise	38	400	456	39
Snatch Steal	trooper	17	417	456	40
Snatch Steal	charleston	29	446	456	72
Snatch Steal	fire king	1	447	456	105
Snatch Steal	snake-eye	9	456	456	106
Solemn Judgment	cannon	2	2	1486	4
Solemn Judgment	critter	68	70	1486	10
Solemn Judgment	treasure	24	94	1486	12
Solemn Judgment	imperial	23	117	1486	14
Solemn Judgment	android	30	147	1486	15
Solemn Judgment	joey-pegasus	21	168	1486	17
Solemn Judgment	fiber	8	176	1486	18
Solemn Judgment	yata	10	186	1486	20
Solemn Judgment	vampire	6	192	1486	23
Solemn Judgment	chaos	17	209	1486	25
Solemn Judgment	warrior	20	229	1486	26
Solemn Judgment	goat	67	296	1486	29
Solemn Judgment	cyber	6	302	1486	31
Solemn Judgment	reaper	24	326	1486	32
Solemn Judgment	chaos return	7	333	1486	34
Solemn Judgment	stein	3	336	1486	36
Solemn Judgment	chimeratech	2	338	1486	37
Solemn Judgment	demise	17	355	1486	39
Solemn Judgment	trooper	12	367	1486	40
Solemn Judgment	zombie	56	423	1486	42
Solemn Judgment	perfect circle	39	462	1486	43
Solemn Judgment	dad return	53	515	1486	45
Solemn Judgment	gladiator	206	721	1486	46
Solemn Judgment	teledad	102	823	1486	48
Solemn Judgment	cat	75	898	1486	50
Solemn Judgment	lightsworn	31	929	1486	52
Solemn Judgment	edison	28	957	1486	54
Solemn Judgment	frog	71	1028	1486	55
Solemn Judgment	crow	2	1030	1486	56
Solemn Judgment	starstrike	35	1065	1486	57
Solemn Judgment	trishula	16	1081	1486	59
Solemn Judgment	tengu	20	1101	1486	60
Solemn Judgment	dino rabbit	22	1123	1486	61
Solemn Judgment	wind-up	36	1159	1486	62
Solemn Judgment	miami	29	1188	1486	63
Solemn Judgment	meadowlands	7	1195	1486	64
Solemn Judgment	baby ruler	22	1217	1486	65
Solemn Judgment	secaucus	2	1219	1486	85
Solemn Judgment	toss	15	1234	1486	90
Solemn Judgment	tri-brigade	22	1256	1486	96
Solemn Judgment	phoenix	11	1267	1486	98
Solemn Judgment	elements	20	1287	1486	100
Solemn Judgment	darkwing	9	1296	1486	101
